Year,Region,Industry_Sector,CO2_Emissions_Metric_Tons,Methane_Emissions_Metric_Tons,Nitrous_Oxide_Emissions_Metric_Tons,Total_Energy_Consumption_MWh,Renewable_Energy_Consumption_MWh,Non_Renewable_Energy_Consumption_MWh,Total_Waste_Generated_Tons,Recycling_Rate_Percentage,CO2_Reduction_Target_Achieved_Percentage,Renewable_Energy_Goal_Achieved_Percentage,Waste_Reduction_Target_Achieved_Percentage
2016,North America,Agriculture,949070,42288,10159,1023482,210732,520572,16680,69,16,32,17
2014,North America,Transportation,1284708,61847,2488,1189427,195671,915676,30533,62,18,19,33
2005,Oceania,Manufacturing,830798,5444,16220,619212,310009,483390,21052,64,10,32,31
2009,South America,Manufacturing,2206479,42091,21555,622032,209644,695161,29905,46,9,13,11
2016,Europe,Transportation,2818512,51473,13033,244037,425668,532309,11630,52,49,33,32
2019,Europe,Agriculture,2644683,25939,21666,354789,248517,479968,32851,40,5,17,23
2012,Africa,Transportation,2051456,78798,28531,219887,164436,318237,17376,87,21,13,12
2001,Africa,Transportation,1675881,32451,17383,728256,98195,510963,41296,40,11,33,13
2000,Oceania,Manufacturing,3170306,87622,10411,1046035,260005,818951,28170,68,11,25,22
2020,North America,Agriculture,1624590,50824,18521,823839,155497,637365,26135,58,26,15,32
2014,Europe,Retail,1188374,23451,14457,674736,268714,386974,26047,67,18,25,25
2006,Africa,Construction,858086,40319,19804,580321,134852,381418,37523,84,20,20,22
2017,Africa,Energy,2992032,44161,10063,625310,197628,414088,31415,89,17,14,28
2021,South America,Retail,1139776,32200,7209,851933,239415,410008,37742,45,10,22,16
2002,Europe,Construction,643552,63291,14731,1061454,121055,441872,22804,74,31,28,20
2001,Africa,Energy,2963076,64024,25120,932032,251697,456395,11100,84,48,10,25
2020,Oceania,Retail,2810717,52275,16537,802472,198380,-76995,18762,93,43,25,33
2016,Europe,Retail,1895893,25445,14706,634241,229255,861313,35966,94,33,14,26
2001,Oceania,Construction,2225013,39523,13701,464184,152154,607472,23287,93,37,26,23
2014,Europe,Construction,3705189,48702,20485,676106,202364,254211,9896,81,46,23,19
2009,Europe,Manufacturing,1697391,17810,16932,1184533,419374,511493,35124,85,24,18,26
2010,Asia,Transportation,1136315,76661,4244,679288,240378,582009,27506,41,8,23,29
2001,South America,Energy,2573779,53489,18878,969159,70930,263344,20518,59,49,29,11
2006,Asia,Agriculture,1608359,40836,19955,427899,156248,403343,26717,46,17,21,34
2015,South America,Agriculture,1049210,52828,17889,710738,191231,641544,25660,84,45,28,15
2009,North America,Manufacturing,340353,62854,2651,1030554,119583,708894,21552,40,41,32,21
2004,North America,Retail,1827775,59448,20756,930361,237004,406075,33093,66,47,11,20
2002,Europe,Manufacturing,2761448,81860,19546,646830,142182,409426,22684,69,18,15,27
2018,Asia,Agriculture,1888066,35551,18962,615005,229436,92658,46713,89,16,27,11
2003,Europe,Energy,2608919,70237,16309,418626,270482,316393,29630,87,22,11,24
2014,North America,Transportation,1912780,56652,12225,932357,251690,283313,22395,48,44,19,25
2007,North America,Construction,2746957,39699,23257,996035,443170,363664,28085,77,29,18,31
2005,Europe,Energy,411823,83135,7747,1096207,208659,391628,25322,62,9,30,24
2011,Oceania,Construction,1270109,37336,13072,287853,309940,799295,19785,69,8,14,11
2002,Europe,Construction,2135302,36296,10975,633210,313374,505960,-72,87,30,29,23
2004,South America,Transportation,2542694,68085,17146,473947,233674,593257,30166,77,33,35,30
2021,Asia,Retail,1714180,58847,23788,491936,195304,634741,14715,83,14,22,11
2010,North America,Energy,1528829,49418,26342,845146,197494,273310,15458,57,33,20,27
2012,Africa,Energy,2537210,57548,22315,1128266,228689,543145,25096,41,15,10,33
2012,Oceania,Energy,1995701,64237,18680,680792,203365,285768,26224,48,46,25,16
2001,South America,Transportation,2689611,37778,22349,1134994,47394,550539,7888,58,38,33,34
2000,North America,Construction,2519481,70582,16585,910269,112766,300434,20269,65,45,20,19
2016,Europe,Manufacturing,2217526,44487,14069,830435,243069,169574,41813,85,24,11,11
2015,Africa,Retail,1913724,77764,16109,469306,117248,441470,35927,93,39,23,17
2014,South America,Energy,1303787,55399,9492,233294,178886,421716,23046,92,31,15,29
2020,South America,Agriculture,2991872,79195,28201,737692,248386,390725,24654,42,47,35,15
2012,Asia,Agriculture,886126,37867,7701,552773,247748,436651,17723,93,19,33,28
2017,Asia,Retail,1732276,63660,18660,479615,195621,413779,31111,82,40,36,10
2014,North America,Transportation,1919066,41861,19425,1103139,188237,528849,20783,87,31,19,19
2005,North America,Transportation,2572919,46610,16172,822027,183655,481789,21163,42,36,28,31
2014,Asia,Transportation,1449874,53834,17790,749812,300874,635299,24148,69,36,39,32
2007,Asia,Manufacturing,1670430,88480,10411,725767,354798,411170,41935,50,30,18,31
2010,South America,Transportation,1447064,51932,21889,1030435,250910,414232,10197,77,32,30,28
2010,Asia,Agriculture,2118614,41723,15439,927310,189190,646213,34164,84,20,10,24
2010,Asia,Manufacturing,1591463,76933,14792,429382,14470,584576,36074,69,10,11,31
2003,Africa,Agriculture,3414433,69961,17571,883681,171753,547103,37580,43,17,38,32
2007,North America,Manufacturing,2613256,51869,16606,1087986,181496,587865,20207,67,14,22,15
2000,North America,Transportation,3339945,27354,21338,995198,284314,301781,9454,59,19,10,21
2012,Asia,Construction,2835965,49499,19151,771174,182456,344776,29339,85,42,36,25
2019,Oceania,Manufacturing,1679287,51640,12737,752424,209616,494179,27318,86,46,11,23
2013,Asia,Agriculture,1790675,67968,23004,421155,213415,574017,24960,74,21,38,33
2007,Asia,Retail,2461472,54340,11960,655423,193411,458711,19513,89,49,13,26
2009,North America,Transportation,1230379,57758,31201,982086,88005,600419,22747,86,41,20,31
2013,North America,Manufacturing,1422455,64458,4063,742576,224454,445434,27241,87,44,14,33
2020,Europe,Agriculture,2848561,16717,13063,806453,98495,687084,19356,54,28,28,33
2009,Europe,Manufacturing,2372442,76507,9966,833716,222864,757219,37689,87,6,33,12
2013,Oceania,Construction,2933184,53639,15610,1102875,132631,860651,16969,58,6,38,18
2006,North America,Transportation,2716287,52732,16865,774501,147155,732013,21044,53,25,26,15
2020,Asia,Retail,2250662,55069,9226,743894,120563,246465,16984,66,13,31,30
2007,North America,Agriculture,1068765,34727,6250,550606,172208,574541,10752,52,19,10,19
2017,North America,Retail,1333516,47014,97,704493,175143,558151,40668,73,18,29,15
2006,Oceania,Agriculture,2138760,47066,9862,950881,108668,450631,7022,94,10,18,23
2004,Africa,Energy,2380626,46301,17408,536104,163703,384562,26625,52,8,27,13
2015,Africa,Manufacturing,1386161,61288,20950,574470,86360,493657,24025,93,36,19,16
2001,North America,Retail,2995947,68259,10124,471027,28343,508229,8995,59,39,15,19
2001,Oceania,Transportation,1414161,73140,14158,668362,241681,602163,27648,58,18,37,14
2013,Oceania,Manufacturing,2052186,21061,17425,498396,185222,304926,49329,91,22,28,14
2017,Africa,Transportation,2619728,54246,13317,679973,174065,533413,2664,71,43,23,23
2003,North America,Transportation,2135514,57121,13583,340697,203002,462609,39636,74,19,23,18
2012,Europe,Retail,2246293,72989,16641,804954,174378,506988,20761,68,27,35,10
2013,Oceania,Construction,366033,45859,6323,280189,379492,673938,43191,53,37,26,23
2017,Oceania,Manufacturing,2015398,88927,14926,694666,239211,489706,21641,77,44,17,15
2012,North America,Energy,2451896,46358,14005,696184,278185,411793,25149,82,41,31,24
2022,North America,Construction,3516343,38465,13210,301446,140223,185432,15782,48,33,23,34
2007,Asia,Retail,1245902,33259,15919,1038385,237214,327037,33591,91,48,11,29
2014,South America,Retail,3412479,66872,7287,830312,264134,837282,24257,94,44,12,13
2012,North America,Transportation,2108330,70735,24499,803364,149156,410038,21196,81,13,22,11
2004,Africa,Construction,1723807,43808,11867,431200,176552,371055,32808,79,20,21,10
2005,Oceania,Energy,2844123,14058,11297,1308812,265814,590994,31194,72,7,14,21
2013,South America,Transportation,2795231,58612,13856,720844,200121,528576,38591,92,5,34,34
2019,Asia,Retail,2218741,41064,15497,640701,171731,175560,30440,90,8,27,17
2013,Oceania,Transportation,2309656,14007,27137,606423,237941,382468,9201,53,24,23,14
2020,North America,Retail,1349841,41559,11290,863098,198494,400388,27054,81,33,14,24
2002,North America,Transportation,2730200,57902,12139,651036,167991,885327,48001,75,8,35,24
2006,Africa,Manufacturing,2425852,88732,20220,806662,264614,235533,15417,91,45,21,28
2017,North America,Construction,1956665,27659,17843,694447,25530,594092,24429,68,20,33,29
2014,Asia,Manufacturing,1254009,27306,6338,797780,281568,805474,11113,94,37,13,11
2007,Oceania,Construction,1117438,28011,15600,960930,374942,552523,24433,44,40,29,10
2012,Oceania,Transportation,2385496,63200,21976,945328,184164,192065,23929,55,45,11,30
2007,Oceania,Retail,2769659,52503,13233,667114,115604,430067,25856,49,42,35,18
2000,North America,Transportation,1938858,40123,19561,312116,178241,647213,27322,80,33,25,10
2013,Oceania,Agriculture,1412767,47750,26229,1202042,102490,565286,31517,58,26,31,20
2014,Oceania,Manufacturing,-341941,31859,8093,755291,124491,354901,14869,85,43,28,30
2000,Oceania,Retail,2108602,662,21053,942646,155986,436471,18279,92,18,22,33
2004,North America,Construction,1989832,56747,15133,895475,167000,562872,22835,91,33,18,24
2007,Asia,Construction,2654783,54185,14424,885111,199824,626089,29313,82,21,17,28
2011,Africa,Energy,3048138,20542,13228,448052,126209,572990,36035,56,18,21,28
2022,South America,Transportation,706045,48983,9940,562939,124792,777694,40034,46,23,31,18
2000,South America,Retail,2663306,67619,14077,537887,84907,380528,21367,50,21,30,26
2014,Oceania,Construction,2411399,27857,10417,942634,165045,686412,10484,75,40,28,13
2022,Oceania,Manufacturing,405702,61703,7162,941440,236183,533224,22834,44,42,13,33
2012,Europe,Energy,2275791,31280,12866,369545,126086,318467,26418,56,48,37,15
2006,Oceania,Transportation,748991,35528,11080,1183633,212047,58551,29207,48,15,22,31
2022,South America,Transportation,1069516,52897,15494,604836,299022,693779,30634,40,14,30,30
2018,Africa,Transportation,2464957,62203,10181,890321,174374,574417,13550,44,37,39,12
2001,Asia,Manufacturing,3340284,38335,15970,452503,242037,62188,20745,77,19,14,21
2017,Europe,Transportation,1655260,18669,20905,540919,27577,650192,19559,64,18,29,23
2016,Oceania,Construction,984276,68307,15567,801279,142549,302488,9860,40,38,20,34
2012,Africa,Manufacturing,1505692,35381,12425,594857,224853,478232,39216,40,30,19,15
2005,Oceania,Transportation,2869200,21287,12655,732014,63352,419459,17480,72,42,18,13
2009,Asia,Manufacturing,2223130,56525,12119,664848,199601,159068,21332,67,16,36,14
2019,Oceania,Transportation,1084214,-4557,20303,486211,174828,1001693,15813,75,28,35,23
2020,Asia,Energy,1990996,13083,17531,734398,207410,278542,8128,79,17,23,30
2014,North America,Transportation,2517377,5915,20694,874514,180461,368781,13752,81,23,36,11
2008,Europe,Construction,2070561,64705,10685,709295,249372,436090,20011,64,17,15,25
2006,South America,Manufacturing,2291621,86822,18552,1048218,345082,849233,34733,86,44,18,27
2003,Europe,Construction,764882,79745,20576,307974,299873,443354,27111,51,36,23,23
2008,Africa,Manufacturing,2669962,7173,8351,1198554,105090,675433,37211,64,9,32,30
2017,Asia,Manufacturing,1743606,46945,13171,669025,198131,791016,17451,75,13,31,10
2011,Europe,Transportation,1670391,39702,13139,1042284,107506,442218,23890,47,48,20,12
2009,Africa,Energy,1282043,71726,22063,998457,40944,601738,6337,49,19,16,23
2001,South America,Manufacturing,1523537,28407,27455,720621,104454,536645,-791,41,19,37,25
2013,Africa,Retail,1162807,8542,11494,933744,176949,638038,42146,66,12,32,17
2004,Oceania,Construction,2525598,42506,18825,767211,110191,534892,14528,89,41,33,17
2013,Europe,Construction,1512412,41081,6452,711394,152785,584834,24253,64,28,30,26
2002,Europe,Construction,3929045,66555,12430,991858,212574,432373,17410,69,24,30,32
2009,Africa,Manufacturing,1645475,47284,19537,1047392,288638,130922,18525,49,21,10,19
2013,Oceania,Transportation,816089,86055,19399,269337,166169,453032,19902,43,10,12,21
2015,Europe,Construction,2169658,41216,8531,627680,131953,191270,28678,84,45,17,27
2018,Asia,Manufacturing,1868652,70980,14004,762524,158466,348080,20545,54,43,14,13
2007,Oceania,Agriculture,3193541,3885,15061,714945,209809,681979,17303,79,30,18,10
2006,North America,Energy,1913689,11589,21888,128456,149524,422619,26198,48,19,17,26
2014,Europe,Manufacturing,3004902,50936,13905,739811,127693,434681,18247,45,17,33,19
2020,South America,Construction,1043806,72144,13344,580598,135684,777560,10776,40,19,39,14
2010,Asia,Manufacturing,2060867,31121,11365,842364,318928,296915,24181,48,28,39,14
2015,South America,Agriculture,2111957,80740,16546,372170,251019,745567,10870,63,31,28,13
2019,Africa,Energy,1512819,66288,16811,941568,223720,700598,28264,74,21,23,18
2004,South America,Agriculture,2957636,57821,17398,666978,234214,487656,35051,63,6,16,17
2015,Africa,Agriculture,1942616,61384,15714,276064,189156,552534,28203,85,11,15,13
2007,Europe,Retail,2036391,31590,15972,239592,182788,800085,15989,68,5,20,28
2009,Oceania,Retail,1353270,50544,21956,422663,75334,661545,37820,80,47,24,22
2009,Asia,Agriculture,2474845,60104,15983,439810,174342,419904,26779,53,24,12,12
2011,North America,Manufacturing,2565302,31262,10583,893836,222362,512273,5862,84,8,33,32
2018,Asia,Transportation,1523042,29963,15919,1004987,88318,756123,42165,80,42,17,24
2001,Oceania,Transportation,2409807,11220,12426,708308,251936,278245,35358,43,35,36,25
2017,Africa,Transportation,2224374,34088,15082,24706,293686,538839,20990,54,10,19,20
2003,Oceania,Manufacturing,1998233,101484,11316,762212,219252,507002,23236,79,15,35,25
2015,Oceania,Retail,985682,69348,20770,934670,86122,318684,18438,78,29,11,27
2012,Oceania,Retail,2046636,60371,18479,712812,195831,564781,10409,68,22,26,10
2015,South America,Transportation,964603,76174,9510,1092309,217017,529670,30897,42,46,32,24
2011,North America,Agriculture,1409663,31006,6999,978837,196254,525065,33042,78,48,16,30
2007,Europe,Agriculture,3153340,23270,24466,590107,286821,493333,40376,90,8,25,27
2012,South America,Transportation,1447560,75717,14242,622692,341462,429507,18345,67,5,10,33
2022,South America,Retail,356297,54174,2031,380649,161216,610157,20306,82,48,15,16
2009,Europe,Construction,2704549,70639,16735,1239402,183289,616136,45597,64,18,38,15
2014,Asia,Agriculture,2087350,61968,18781,702335,275548,123624,29454,90,28,29,12
2011,Asia,Construction,2567512,46386,9565,779012,222411,682100,39031,60,17,12,31
2021,Africa,Manufacturing,2046639,31749,12518,645166,192322,556685,19732,49,38,27,19
2012,Oceania,Transportation,1629948,56057,16712,598127,209497,536287,18319,62,41,33,16
2022,North America,Construction,3297465,12668,15038,827591,343521,393173,44334,80,22,18,13
2004,Europe,Manufacturing,1245199,68523,4934,678331,114410,291867,22542,88,33,20,15
2007,Oceania,Energy,2808519,71992,11227,1097312,132723,705260,31200,74,19,27,17
2012,Africa,Transportation,2084940,72632,9500,551428,220827,466664,23757,61,47,31,15
2007,Oceania,Construction,1316127,70508,8720,682572,165512,536454,35044,88,22,26,23
2000,Europe,Retail,3178415,64622,22325,722096,233630,384180,13966,65,10,28,24
2007,North America,Transportation,2379480,57195,18842,873339,146519,156635,31392,47,7,33,21
2022,North America,Energy,1134150,23529,8802,631695,240554,566117,28160,72,34,26,22
2003,Africa,Retail,1859547,70476,15544,1016401,302193,307082,18938,74,49,33,18
2000,Oceania,Energy,1745407,45576,20189,733629,170989,794805,20976,62,33,25,12
2022,Oceania,Agriculture,1671394,19541,16701,938797,133850,368316,16448,83,14,31,13
2015,North America,Agriculture,2711010,79295,13459,825649,164855,483293,25601,51,19,15,24
2008,North America,Construction,1991389,22932,45,145724,175229,814445,25824,42,13,30,14
2001,Asia,Transportation,-82868,39985,16362,878644,219140,625091,23375,79,16,37,10
2015,Oceania,Construction,3562805,32956,10417,439845,142925,346210,5406,64,39,15,18
2005,Africa,Agriculture,702602,55006,20506,864733,214698,467305,34287,52,37,17,16
2017,Asia,Construction,3543307,35540,17970,1489513,133008,387058,28335,69,32,37,31
2018,Europe,Construction,605651,52184,9333,297385,132057,540056,13995,80,47,27,26
2004,Asia,Transportation,1133791,42897,17108,811993,251950,542115,37927,71,10,33,32
2006,Africa,Energy,1507687,30342,11424,861166,63087,272863,29395,52,15,13,17
2017,Asia,Transportation,2452765,62752,22052,893050,261748,678505,27959,90,45,24,17
2005,Asia,Retail,1460859,78635,12895,783697,120180,820743,23259,59,8,10,28
2019,Oceania,Agriculture,2078581,82924,12911,414391,250974,352488,27534,51,8,19,17
2013,North America,Energy,1558086,54736,9598,627039,100668,582711,13636,81,33,37,25
2002,North America,Retail,630234,2379,15724,352741,203459,352779,41717,43,26,12,21
2022,North America,Manufacturing,793103,48042,13911,980277,124511,582463,33847,74,28,29,31
2013,Europe,Manufacturing,2507507,48780,16126,1067370,191016,829618,10216,79,25,18,17
2003,Asia,Manufacturing,2241374,41970,15135,574810,202548,704307,25884,91,10,25,16
2022,North America,Transportation,1653066,72704,9715,738058,193585,358187,28831,67,41,22,29
2014,North America,Retail,1094652,30047,12347,326941,238832,330357,25596,50,42,17,20
2007,North America,Manufacturing,727390,43022,13059,796588,62134,292714,42715,64,28,29,26
2007,South America,Agriculture,2270711,69817,15269,541899,243452,292541,36892,93,44,29,18
2012,North America,Construction,2916152,42181,15724,600541,187694,906092,18581,53,29,14,30
2012,North America,Energy,1971637,53526,15093,801972,139588,762268,12082,60,43,21,16
2019,Africa,Transportation,1897105,52789,19954,280618,402677,486463,23160,47,44,35,29
2015,Asia,Energy,1893945,45397,11305,618782,275152,397162,10308,47,10,13,16
2001,Europe,Agriculture,2529562,36767,16274,663073,261183,519376,25933,81,29,29,25
2006,Asia,Transportation,1328959,49071,13064,599959,346725,237049,30765,84,49,22,12
2005,Europe,Construction,2166943,65212,3976,750215,234485,307542,24138,73,28,17,11
2014,Asia,Agriculture,2713559,83446,13478,1013823,160470,220118,11951,72,35,28,19
2007,Africa,Energy,3121104,42267,14203,50150,102409,298043,18987,85,20,12,17
2002,Europe,Manufacturing,1061305,98561,20872,916322,103156,724238,22652,48,13,13,14
2011,South America,Construction,3020775,51051,24355,570834,247772,696774,8738,48,18,36,34
2004,South America,Agriculture,1753491,84659,7933,529256,243836,579340,18212,80,5,15,30
2004,Asia,Manufacturing,1582058,43052,20361,648568,124176,240680,23352,46,10,13,33
2012,Oceania,Transportation,1232294,50775,24696,967040,109472,811380,33599,75,41,31,23
2016,Africa,Manufacturing,2332840,82341,12685,913943,224879,752951,22863,84,35,31,27
2020,Africa,Manufacturing,3143468,5380,5917,740031,59868,559327,18638,77,6,10,16
2005,Europe,Manufacturing,1830438,52790,14066,584181,79757,324734,34242,94,16,26,25
2007,Africa,Construction,2127796,52158,13033,453084,209889,498595,21060,62,31,19,23
2020,Africa,Energy,2097452,69835,14876,199179,82605,314323,36177,54,26,18,26
2003,Asia,Transportation,1944622,50449,8658,834654,308543,294428,29851,72,39,28,14
2001,North America,Transportation,1302596,45065,21802,859543,228597,514600,30670,80,29,25,29
2010,North America,Retail,3166305,57111,21200,620270,361861,621170,27184,94,39,38,19
2000,Africa,Construction,2606933,87839,22195,858765,244209,364385,34695,92,32,33,16
2002,North America,Retail,1772370,86925,16984,1073075,222208,506453,28342,62,8,11,21
2007,Oceania,Construction,2150818,75621,16911,278080,159580,716333,4172,55,11,16,34
2010,South America,Manufacturing,1994197,9700,13821,614126,265923,472806,38140,81,28,31,31
2005,Europe,Agriculture,1163563,15503,22342,519992,208173,741472,19013,74,11,10,27
2000,South America,Agriculture,1512553,37453,13186,281895,231223,475126,11207,42,41,33,17
2010,Oceania,Manufacturing,1537177,82480,17697,685486,255170,467866,21476,80,21,25,34
2021,Africa,Construction,1929651,50779,16962,1180338,160811,477022,27480,61,43,21,27
2010,Oceania,Manufacturing,545754,70913,20778,649426,253041,681740,20091,69,40,31,17
2013,Africa,Agriculture,1523711,9232,15626,595308,197393,553291,51744,60,29,34,10
2002,North America,Manufacturing,2054529,50268,19192,666129,208050,158740,56779,81,18,30,16
2001,South America,Construction,3811839,30920,18200,1047863,260886,390503,36561,75,6,34,30
2009,Oceania,Agriculture,1114702,32581,22557,751695,184088,489158,10238,87,9,16,32
2017,Asia,Retail,1746082,44550,17931,1037637,180082,591076,26404,92,5,12,29
2001,Oceania,Manufacturing,2713449,56863,24646,724739,254427,436623,16699,60,49,39,23
2019,Africa,Retail,2933315,64887,14682,443712,168406,634744,20881,63,33,25,34
2021,Europe,Construction,1614062,47656,9922,1217207,255238,572940,32089,44,46,30,17
2000,Asia,Manufacturing,2648376,42837,11309,817418,221286,194441,14507,56,38,30,26
2007,North America,Energy,2387359,51863,20941,786191,206987,610366,25031,77,5,24,27
2007,Europe,Retail,2730889,53671,17270,595109,276018,552297,24934,58,26,35,30
2022,Oceania,Retail,1809594,74030,7039,368574,212087,336030,29614,67,17,20,33
2004,Asia,Agriculture,1870311,69798,12284,788240,100963,597958,30595,46,37,27,15
2004,South America,Energy,2470446,47341,17134,964118,84958,635514,18866,57,19,13,30
2015,Africa,Manufacturing,2285686,8868,19100,892293,168093,246659,26584,50,29,39,14
2011,South America,Construction,743576,26377,17891,724554,321431,328413,22329,87,9,22,22
2000,Oceania,Manufacturing,1384901,23719,17389,1023858,224209,810496,9138,76,44,10,21
2012,Africa,Agriculture,2794978,36163,12261,882159,214542,485480,10925,72,48,15,13
2014,Europe,Manufacturing,1298755,38476,12676,491126,201312,629369,17274,64,14,22,27
2011,North America,Transportation,1924305,43473,16259,786701,194906,666791,11194,84,33,15,18
2021,South America,Agriculture,2261247,59668,18053,715367,210696,521851,34314,86,31,37,10
2007,Africa,Manufacturing,2329765,35341,8648,900553,203809,156742,17833,84,9,20,34
2014,Oceania,Agriculture,811872,61727,16856,429937,93282,862489,39026,84,27,33,21
2017,Oceania,Manufacturing,1104366,54528,3552,805780,153661,370050,7774,85,10,26,31
2012,South America,Transportation,2450038,13019,17893,709341,166971,528716,35877,72,43,24,34
2021,Oceania,Retail,2222937,71152,19151,561352,195775,235341,23922,63,15,25,29
2014,Africa,Retail,1737455,66251,12993,888182,67896,398404,22621,88,40,27,32
2022,Asia,Manufacturing,1029412,24338,15144,402317,203016,479014,24930,65,42,19,14
2018,South America,Energy,1435850,32230,6560,734497,233585,299016,40699,49,20,11,20
2005,Africa,Retail,1139981,14507,16695,1239148,89651,711062,23230,92,48,10,20
2000,North America,Manufacturing,2981233,58341,5166,347049,119946,350459,30156,63,24,10,19
2014,Africa,Energy,1513925,37649,10730,1269275,132172,528919,3829,94,13,29,33
2020,North America,Construction,1936234,40357,17486,849874,95135,416581,20934,70,13,25,33
2017,Asia,Retail,1779150,66280,9788,1213175,104484,512233,19991,49,16,37,34
2006,Africa,Energy,1280713,65735,25159,1268323,182619,387140,7262,90,26,33,31
2015,Europe,Agriculture,1396159,78943,18028,596557,330136,646442,33495,57,9,29,28
2011,Africa,Construction,2416802,45012,18874,632510,299535,373357,24396,59,49,21,17
2020,Asia,Retail,505450,80950,17717,630280,164921,551979,27142,77,44,37,10
2001,Europe,Retail,2591501,1733,8746,580075,201727,518182,46934,40,18,13,29
2021,Asia,Transportation,1910022,32079,13467,399369,153482,327954,21821,77,12,39,21
2022,North America,Energy,2653619,53191,9924,844641,205190,342551,25629,93,14,12,26
2018,Africa,Construction,2173779,44395,6037,633410,284567,490830,30881,68,8,22,24
2020,South America,Manufacturing,2290684,38430,19994,610505,217388,859973,10370,70,34,14,14
2007,Africa,Agriculture,120964,34611,14711,663566,240112,534970,22072,72,41,13,16
2019,South America,Agriculture,2743020,46792,22625,1204546,152858,442404,21789,48,43,38,11
2020,Europe,Construction,1779982,22764,14099,861594,277821,331408,23201,41,46,27,28
2002,Oceania,Energy,2801768,70855,10585,638793,134248,211123,37100,69,33,26,16
2016,Africa,Transportation,1978728,43892,10453,1084638,131476,401671,18935,92,47,25,32
2020,Europe,Transportation,3376531,77560,11579,660356,222720,402949,10816,69,18,39,23
2006,South America,Agriculture,2947671,67533,10406,278137,265101,420626,22215,51,17,12,14
2009,North America,Energy,3086358,79261,17384,872685,178802,457353,17667,60,11,14,15
2021,South America,Retail,1316480,47716,22738,663376,213305,545839,5570,42,12,37,27
2001,South America,Transportation,940024,69775,15574,697979,206402,864732,33025,56,8,28,21
2016,North America,Transportation,1187533,72716,4160,297524,250263,628069,29931,85,19,23,23
2021,Europe,Transportation,1823346,65510,18967,608693,265495,563980,23329,40,17,18,31
2018,Europe,Construction,1554345,64014,14980,698537,215311,627627,30645,42,40,32,10
2021,Europe,Retail,1926710,65963,23911,297014,115410,886298,33370,42,20,35,16
2004,South America,Construction,3802909,58669,14319,694518,369272,437512,33169,68,43,23,19
2011,Africa,Manufacturing,2087909,69819,23304,523868,187704,265462,38756,53,16,13,15
2002,Europe,Manufacturing,2507814,76857,14338,830572,173342,477190,40823,44,32,38,34
2009,Africa,Construction,1940952,81769,11944,1009305,228093,739811,23049,57,13,37,33
2020,Europe,Retail,635654,66495,5609,554956,260814,363685,7999,69,39,38,31
2016,South America,Manufacturing,2479624,19370,16579,863494,126322,42267,19832,65,7,16,28
2015,North America,Manufacturing,1380315,39561,12344,-28621,273377,502459,38676,55,35,26,15
2018,South America,Transportation,1674189,58065,15490,385280,178762,533506,25270,84,12,32,14
2017,Europe,Construction,894540,36765,6922,944555,252719,562479,33946,69,13,33,26
2008,Oceania,Energy,2006131,47007,2083,708484,243728,558038,26833,55,40,25,13
2017,Europe,Energy,1287842,57945,17102,608140,193328,428001,20762,81,33,32,10
2014,South America,Transportation,1940004,26714,14397,618505,328909,450197,13340,71,5,35,10
2007,Oceania,Energy,2195374,77967,19704,183520,248959,269659,1409,88,7,17,17
2006,North America,Retail,3514088,80456,19225,1040810,92290,571629,26174,51,9,39,24
2022,Asia,Retail,1994019,95842,13569,821793,206617,352927,14965,89,21,35,29
2004,North America,Transportation,1812933,48723,9770,882237,173380,346932,26216,59,40,21,17
2014,Africa,Agriculture,1523098,34758,6522,510115,180859,476808,33386,86,31,20,18
2002,Africa,Transportation,613541,48252,21137,388154,174071,413588,24840,69,27,12,13
2011,Africa,Retail,1838285,58993,20919,493654,120506,396870,30539,81,14,13,17
2022,Africa,Retail,1842735,20526,14799,822897,-29593,866765,29027,45,15,21,22
2021,South America,Transportation,1551286,28959,7382,999027,147493,553507,43550,61,5,19,11
2022,Europe,Transportation,2730734,42955,28177,342035,290439,635503,39728,87,24,39,30
2015,Asia,Construction,1677308,32459,26486,551053,209345,401063,17213,40,28,23,15
2002,Asia,Manufacturing,1921307,41835,15858,360734,166842,284376,12095,73,17,23,28
2008,North America,Retail,960481,74019,11413,451591,132571,307483,33356,75,18,16,27
2012,Asia,Retail,474399,62456,16044,745351,239248,436833,33720,57,44,24,20
2000,Europe,Manufacturing,1119307,17639,13539,757986,202800,367920,26358,56,14,36,11
2015,Africa,Manufacturing,2586141,86262,25794,1090241,31504,531646,22703,79,17,18,26
2010,Africa,Agriculture,3163871,28540,13978,185320,239903,439790,25513,63,35,23,23
2018,North America,Energy,1691222,57126,24300,449985,261038,704193,21080,78,8,23,16
2007,South America,Construction,1259411,29692,8029,485666,218293,692142,13355,53,39,27,23
2013,Europe,Energy,732313,31903,13650,824140,168324,130217,35527,45,48,36,12
2011,South America,Energy,2155473,44171,12653,704807,199513,633902,34948,40,12,19,12
2017,Asia,Transportation,94454,78953,12491,1148440,254431,643783,17840,93,9,11,31
2003,Asia,Agriculture,2608866,16543,9084,326608,162812,274155,33308,42,49,39,25
2011,North America,Retail,1313045,33486,19314,562851,169541,613510,21699,80,27,11,27
2013,Europe,Retail,1939996,56712,18664,413732,246139,557585,21097,74,32,27,21
2018,Africa,Retail,3773043,63535,11751,743783,265027,521606,19533,81,6,31,11
2008,South America,Construction,2346282,56083,26423,613387,270507,317471,21864,75,44,23,20
